Month,Income,Food,Travel,Rent,Shopping,Bills,Entertainment,Total_Expense,Savings
May,46382,9147,622,20604,2112,1771,1845,36101,10281
Nov,96675,6770,3200,19612,4876,1787,5176,41421,55254
Oct,42419,7833,3753,21334,7040,860,1245,42065,354
Sep,59291,10205,7564,11402,8452,2474,5634,45731,13560
Mar,32397,9002,3561,17333,11090,3427,1377,45790,-13393
Jul,77888,4293,4461,5345,7118,3964,633,25814,52074
Oct,55169,4045,1288,9942,9439,2726,5313,32753,22416
Oct,82182,3037,756,24326,7795,2350,1547,39811,42371
Nov,62249,8242,4525,28788,8044,3046,2924,55569,6680
May,48341,14320,6456,22460,1567,3224,3199,51226,-2885
Jul,95603,11651,7400,14363,6958,4174,1962,46508,49095
Feb,66144,10448,7241,8770,10380,4405,1847,43091,23053
Apr,81772,14321,4154,27036,11787,4275,5741,67314,14458
Feb,99360,8162,5888,16353,2353,4887,1864,39507,59853
Dec,33444,6073,3751,13424,6029,1317,1731,32325,1119
Jul,65647,3283,7434,16990,10172,2646,4761,45286,20361
Feb,30974,8732,5768,13048,5965,680,4205,38398,-7424
Nov,58383,7945,4089,17099,1168,4969,4582,39852,18531
Jan,22956,5487,5767,16891,8712,941,2079,39877,-16921
Sep,28077,4184,5275,20573,3671,2792,5694,42189,-14112
Jan,56490,10550,7676,21834,1378,2162,3919,47519,8971
Aug,75612,13983,5797,14554,2932,1370,2517,41153,34459
Feb,56159,5187,7439,5350,1193,3374,4517,27060,29099
Dec,59710,14691,1107,14500,9455,2999,3537,46289,13421
Aug,33806,11417,4926,9004,10663,3712,1261,40983,-7177
Mar,98345,7495,4427,16117,11207,2156,5705,47107,51238
Jun,26458,4297,6699,26062,5616,2396,4472,49542,-23084
Mar,55524,9097,5826,21628,6014,1589,5244,49398,6126
Jul,26853,10469,2652,26029,8878,982,5146,54156,-27303
Oct,60477,14399,1046,18015,2300,808,1098,37666,22811
Sep,52222,12178,5388,9734,4200,1092,2702,35294,16928
Feb,38320,5544,2404,17871,4373,4343,4243,38778,-458
Dec,72243,12985,5974,20162,9765,1518,916,51320,20923
Dec,65615,8831,2182,21824,10729,4993,3933,52492,13123
May,37352,2391,988,16737,2383,4692,3917,31108,6244
Jun,92833,2968,2322,14659,10572,3761,3064,37346,55487
Apr,23203,12382,6122,27299,4537,4790,1582,56712,-33509
Apr,59267,7151,3621,21795,8924,1857,5602,48950,10317
Apr,57941,12420,7754,5813,10715,582,1087,38371,19570
Feb,45368,12818,4274,26062,5991,750,5367,55262,-9894
Apr,97186,13037,6946,23114,6202,1593,3307,54199,42987
Nov,50984,6364,3572,11643,4932,2887,4158,33556,17428
Jan,61941,5307,3952,18269,4622,1908,2723,36781,25160
Dec,92918,12792,1149,23358,10087,1981,4917,54284,38634
Jun,72683,12872,1147,5549,1464,3711,2683,27426,45257
Jan,20801,8125,5981,19452,8980,1598,2521,46657,-25856
Oct,67965,6370,880,23321,2610,4695,5526,43402,24563
Jun,29969,6838,6805,5203,9804,4228,5275,38153,-8184
Jan,55969,10277,2566,20718,1604,4392,4113,43670,12299
Jun,52449,5134,7617,8588,8967,1232,2869,34407,18042
Oct,45705,14691,2363,28467,1620,822,1859,49822,-4117
Aug,80303,12431,2790,7536,3602,2557,1280,30196,50107
Nov,48363,13556,4724,27172,11375,3560,2036,62423,-14060
Feb,50720,12237,1699,13298,7473,4200,670,39577,11143
Feb,29972,3054,5004,25195,4800,3884,5519,47456,-17484
Dec,53351,13593,5387,7701,8098,1761,4724,41264,12087
Apr,56145,5729,3490,17089,7538,1305,3227,38378,17767
Nov,76235,4669,1607,15411,1155,2033,4992,29867,46368
Mar,34855,2275,3947,12825,9160,2541,2608,33356,1499
Apr,56169,14938,721,10974,7681,4725,2158,41197,14972
Dec,66404,7717,7992,25320,3715,4324,2295,51363,15041
Jul,39569,14282,1939,9090,5339,3956,3285,37891,1678
Nov,74437,11297,7088,28340,9070,4164,896,60855,13582
Jan,68506,10022,1117,15559,7690,3596,1303,39287,29219
Jun,45738,10000,5944,14252,1449,1853,3504,37002,8736
Mar,26772,14873,3070,7546,2069,648,4269,32475,-5703
Nov,39731,13124,6809,8736,5017,2283,3789,39758,-27
Oct,30131,2128,3255,19600,3819,2775,1154,32731,-2600
Jul,86324,14543,3290,6672,3285,1114,2376,31280,55044
Oct,74097,9077,4442,5401,11227,2324,767,33238,40859
Feb,22889,6326,3809,20322,10382,739,1592,43170,-20281
Feb,29569,5568,7652,16191,2399,1412,1968,35190,-5621
Apr,95677,9622,4554,9313,3248,3513,1821,32071,63606
Jan,97470,10080,7556,19665,11985,4253,1997,55536,41934
Mar,27612,4402,5632,16644,7375,658,5493,40204,-12592
Sep,71644,3647,7924,27736,1723,1047,3579,45656,25988
Jul,52069,5556,7877,16826,10633,3400,2254,46546,5523
Jul,47331,14083,7008,29863,6273,2765,2008,62000,-14669
Nov,75897,4193,724,21471,8535,1254,1321,37498,38399
Apr,33934,12239,7639,28530,5820,1234,4475,59937,-26003
Feb,30095,5104,2741,21303,1086,4291,2635,37160,-7065
Apr,38706,6355,7863,11279,8697,3328,1664,39186,-480
Jun,63516,4134,4652,23589,7846,4817,3072,48110,15406
Nov,54629,11034,4196,7967,5149,2835,5421,36602,18027
Nov,66910,12163,6856,9250,2751,2424,5170,38614,28296
Mar,40431,14552,3850,24918,6161,1023,5962,56466,-16035
Jan,76733,5903,4327,29795,4420,2010,1186,47641,29092
Dec,60088,5613,1903,8238,5837,3246,1474,26311,33777
Aug,64135,10583,4712,13513,3483,1117,3787,37195,26940
Dec,58015,4279,7242,7738,4212,1360,1005,25836,32179
May,51385,11092,909,9936,4922,4988,2270,34117,17268
May,90199,14875,2416,6836,11681,1807,573,38188,52011
Nov,58677,12686,3938,23943,7310,3400,5401,56678,1999
Apr,32818,3152,4567,6568,7042,3321,1080,25730,7088
Jun,83001,3294,3359,15514,9013,4365,3640,39185,43816
Mar,43977,10657,7572,19047,10678,3814,722,52490,-8513
Sep,69832,7289,7780,9720,4527,534,4507,34357,35475
May,60931,12367,2483,12957,9264,2600,1396,41067,19864
Mar,98894,5245,7831,16155,9916,1879,2933,43959,54935
Nov,92204,8068,2551,13544,4754,4745,4452,38114,54090
Jan,65784,8716,4201,11525,9162,936,2669,37209,28575
Oct,29921,8654,522,21083,5365,3072,1232,39928,-10007
Dec,54959,10679,3468,12935,9410,4862,1964,43318,11641
Jun,52328,4938,1244,29605,1546,4479,1322,43134,9194
Feb,28859,4626,1101,28898,4729,808,956,41118,-12259
Mar,94408,2949,3535,28449,8350,4860,2711,50854,43554
Jan,46708,14693,7759,11737,6884,991,3834,45898,810
Sep,38847,11241,7112,7540,2968,1021,2639,32521,6326
Aug,75989,6075,5565,25203,5516,2414,4349,49122,26867
Dec,24922,14651,5774,29407,2259,3425,2883,58399,-33477
Feb,89928,11582,2342,22218,7992,1868,5181,51183,38745
Dec,72335,11275,3174,24708,8756,3790,813,52516,19819
Nov,33541,14838,6850,22013,3933,2641,3149,53424,-19883
Aug,39551,3658,7657,7986,3509,3729,2389,28928,10623
Dec,39381,14579,4676,29605,2562,4629,5589,61640,-22259
Sep,75673,8932,3162,19958,11277,3348,4379,51056,24617
Jan,42948,10053,982,29463,10981,4077,1989,57545,-14597
May,79072,8959,4536,29317,9075,3071,2164,57122,21950
Aug,87560,3817,3139,25166,4669,732,3108,40631,46929
Nov,22486,10382,6026,11485,3481,2122,3032,36528,-14042
Feb,86691,2460,7770,26790,8198,3152,1155,49525,37166
Apr,30082,9971,3811,24852,1204,1716,4218,45772,-15690
Jul,27086,8015,7932,28528,1741,4039,4482,54737,-27651
Mar,87853,8376,4628,16772,8049,1021,3174,42020,45833
Dec,90027,4521,6678,15152,5263,3334,4515,39463,50564
May,35916,5476,5868,17531,8837,3566,700,41978,-6062
Aug,35248,4705,7643,29796,5737,3699,5029,56609,-21361
Dec,88047,6366,7717,26659,2105,840,637,44324,43723
Oct,44226,11349,4875,10867,7830,3244,3563,41728,2498
Mar,45025,14458,6603,27900,11015,4446,1575,65997,-20972
Apr,68380,2027,4325,9626,11839,4438,2248,34503,33877
Sep,27848,6231,2699,7262,5197,558,1975,23922,3926
Jul,34274,13164,2182,7414,1088,3753,5777,33378,896
Jan,74545,8548,6170,15353,7488,742,5457,43758,30787
Dec,55233,5024,5296,20559,4381,727,5825,41812,13421
Apr,36304,3264,4108,17312,11398,3102,3913,43097,-6793
Apr,31294,11047,6375,10240,4185,626,4404,36877,-5583
Sep,46425,14217,7378,19053,7679,4930,5935,59192,-12767
Jun,88711,8587,1518,14049,7306,1931,4731,38122,50589
Sep,29425,8577,5849,10122,1864,2668,3646,32726,-3301
Dec,64990,3251,5260,9993,9246,4459,948,33157,31833
Jun,93746,14796,3470,23876,5671,3248,568,51629,42117
Jun,88295,5870,1811,20613,11272,1808,5408,46782,41513
May,36091,3326,1918,13211,1557,2625,4132,26769,9322
May,20002,8177,3000,18515,10184,2093,5610,47579,-27577
Feb,70411,11217,3167,13997,5291,4579,1690,39941,30470
Aug,60958,2361,5652,21335,1447,1993,2240,35028,25930
Aug,40707,3218,6534,7175,2821,2530,4232,26510,14197
Nov,35248,2605,1886,7405,4819,3752,2519,22986,12262
Jan,91309,7959,5730,24747,1091,4860,3692,48079,43230
Aug,98322,3670,1644,12341,1607,746,4392,24400,73922
May,71720,12489,2563,29284,10443,1582,596,56957,14763
Feb,35037,12386,5334,16156,1285,1981,4972,42114,-7077
Feb,87421,6443,2046,20963,3921,510,2014,35897,51524
Jun,60612,3277,7358,22989,1101,2506,1576,38807,21805
Nov,33450,2398,7357,23941,4835,3941,508,42980,-9530
Sep,29491,4172,2645,20779,9169,4029,3552,44346,-14855
Jan,94804,4810,2663,23426,5235,2792,750,39676,55128
Dec,26791,8274,3512,5778,10870,1444,859,30737,-3946
Jun,48314,7681,6090,8159,8509,934,2896,34269,14045
Sep,71883,12844,6058,11395,7716,3991,623,42627,29256
Aug,85629,4939,7948,6746,1534,2789,5229,29185,56444
Nov,29967,11013,4944,10974,7666,3843,4794,43234,-13267
Jun,63220,2944,4827,10150,9207,3066,1328,31522,31698
Mar,94163,13670,6592,17132,9752,2259,1934,51339,42824
Aug,24947,12971,3682,21804,3925,4375,5513,52270,-27323
Sep,59419,7965,3923,15043,11575,2728,5714,46948,12471
Jan,76131,14621,4501,23492,1909,767,2577,47867,28264
Dec,48876,8348,7679,9674,10605,2698,1615,40619,8257
Sep,39971,9770,7627,26729,6008,4187,1095,55416,-15445
Jun,82539,9099,4059,8996,1118,4977,3586,31835,50704
Jun,69228,14642,2056,27466,4113,1014,3202,52493,16735
Dec,94495,3196,3186,14550,7153,2243,3007,33335,61160
Apr,48261,3212,2832,25294,2491,1429,2244,37502,10759
Jan,81260,2823,6566,7626,3096,4431,522,25064,56196
Oct,23346,12088,2156,5490,8944,1948,825,31451,-8105
Aug,76176,9084,7279,14487,3254,4387,5472,43963,32213
Feb,72300,14455,6538,27316,9705,698,762,59474,12826
Dec,31340,12607,1044,15273,7103,2555,4000,42582,-11242
Jan,53012,2535,891,24755,2233,2280,5979,38673,14339
Feb,55393,5010,5789,18684,6258,4922,2085,42748,12645
Jan,95133,12819,6720,16366,10671,2213,932,49721,45412
Jan,45557,9537,2488,25448,6631,3592,1059,48755,-3198
Sep,84204,13969,4585,27221,4349,4004,3055,57183,27021
Jan,93273,2949,796,20906,10732,3067,4644,43094,50179
Apr,37276,13700,6973,9989,1129,1429,2202,35422,1854
Oct,74639,14494,1586,17021,4716,1919,2988,42724,31915
Jun,27310,2543,4865,27355,7754,2505,5189,50211,-22901
Jul,55167,5900,6859,8380,4743,1830,4823,32535,22632
Feb,30391,13945,3761,10689,2771,3057,713,34936,-4545
Jun,70621,6224,5694,13603,5454,923,2165,34063,36558
Jul,30892,12274,6305,12473,7770,649,3155,42626,-11734
Oct,96733,4866,5105,6676,8250,3963,3978,32838,63895
Oct,98586,4246,7222,12790,6273,2013,4315,36859,61727
Feb,56142,3836,1616,10282,9697,3215,3297,31943,24199
Feb,65679,10268,1576,24095,6628,3493,1541,47601,18078
Oct,61615,10560,995,18376,5913,638,5062,41544,20071
Jul,67553,8976,3495,14431,10030,4225,2891,44048,23505
Dec,99071,14813,593,5602,5718,2370,2871,31967,67104
Jan,61002,2348,5220,6937,3676,2561,5865,26607,34395
Aug,90658,6601,4824,29505,1096,2495,1583,46104,44554
Nov,29852,14930,6893,29601,2963,3318,5457,63162,-33310
Mar,25387,6333,6010,11812,6401,2413,3225,36194,-10807
Nov,59994,7399,1220,6067,8767,4780,2450,30683,29311
Jun,53725,7696,5575,18401,1598,1242,5872,40384,13341
Sep,92682,3455,6825,10252,4963,4681,1347,31523,61159
Jun,20560,4185,4862,18472,9620,4733,5171,47043,-26483
Sep,76565,9436,5599,27247,8293,4037,1044,55656,20909
Jul,21312,5811,4876,5379,2324,576,4653,23619,-2307
Sep,38205,13464,4526,26886,11782,2491,4389,63538,-25333
Feb,31595,9309,4555,24566,11606,4205,2611,56852,-25257
Dec,41329,10086,5557,25131,9111,3522,5494,58901,-17572
Aug,88187,5682,7310,10196,2767,1516,2672,30143,58044
Aug,95542,3846,1606,26516,6164,596,2608,41336,54206
Feb,55645,3854,5805,27424,10708,1494,879,50164,5481
Dec,89619,4985,4432,18881,2339,2054,5573,38264,51355
Apr,53513,14642,4222,17119,11738,1532,1661,50914,2599
Nov,28749,12817,7174,25504,10168,582,565,56810,-28061
Jul,50783,4894,1871,13737,7466,2035,5798,35801,14982
Nov,80645,9496,922,10259,10806,1012,1297,33792,46853
Apr,73175,2558,7624,29850,10776,2422,2316,55546,17629
Apr,82709,4896,2505,16633,6463,2197,5790,38484,44225
Jun,37323,12109,5049,15461,6490,3985,1131,44225,-6902
Oct,70762,3254,6910,7922,5061,3060,1867,28074,42688
Jun,84222,3681,5102,8387,8604,2414,4275,32463,51759
Oct,54493,7271,5761,26826,2270,4476,3758,50362,4131
Mar,78328,12006,4911,26936,1218,1146,726,46943,31385
Sep,32213,8283,6295,19553,1533,1297,691,37652,-5439
Dec,66930,10854,1263,15062,8951,576,3299,40005,26925
Oct,47713,14308,5851,25397,10687,3183,1649,61075,-13362
Nov,92723,5325,3868,26751,10565,1241,3503,51253,41470
Feb,52583,3241,1397,29686,4823,1725,4045,44917,7666
Jun,99944,5143,1452,11959,1064,4702,4694,29014,70930
Dec,42369,5037,3422,14947,5341,1464,4939,35150,7219
Jul,67928,10353,6191,27674,6082,811,519,51630,16298
Dec,88950,14417,7559,14559,10916,3146,4200,54797,34153
Sep,39510,12142,6665,5551,11397,3231,2906,41892,-2382
Mar,32120,14512,4979,5133,3985,1132,932,30673,1447
Oct,25295,3781,3697,11607,6594,4181,1499,31359,-6064
Mar,40460,6675,4698,16103,4913,914,3158,36461,3999
Jul,34963,3477,1399,15205,10240,3706,3034,37061,-2098
Apr,97116,13222,4523,11599,9017,2042,4462,44865,52251
Aug,47328,9148,7376,18372,5255,1271,4925,46347,981
Jul,41605,14178,4705,10124,2004,4979,2190,38180,3425
May,64813,9551,4141,6060,3122,3087,834,26795,38018
Jul,66371,2106,4043,28768,7696,986,3053,46652,19719
Mar,67598,4668,7732,19048,4981,2279,3010,41718,25880
Dec,80776,6935,6091,23570,1471,529,2550,41146,39630
Feb,92258,9270,4141,24049,4405,629,3216,45710,46548
Jun,60969,3164,5265,8170,1308,4714,2722,25343,35626
Feb,56912,3157,7743,15919,8695,2874,2371,40759,16153
Mar,58374,4246,3590,24030,8707,4483,2104,47160,11214
Jun,92302,8653,4979,21979,4047,3641,2056,45355,46947
May,82784,10858,6616,20583,11113,707,2845,52722,30062
Aug,69882,12318,6833,9106,3017,4686,2665,38625,31257
Sep,35928,13133,1261,27201,5881,4715,1288,53479,-17551
Nov,41274,9649,2907,8421,2478,1481,1141,26077,15197
Mar,54416,2511,7518,21303,11544,4802,4801,52479,1937
Dec,80998,10441,1385,7278,5197,2671,3606,30578,50420
Oct,49047,2888,6722,22548,8721,611,1951,43441,5606
Mar,63356,11215,3143,22001,5870,1909,3489,47627,15729
Mar,57134,14886,3743,18052,4459,1205,5418,47763,9371
Jun,87042,9983,1735,5450,10423,3279,2804,33674,53368
Jan,71310,10791,3433,14990,6434,4699,2729,43076,28234
Jul,32363,5022,5610,17778,1571,3100,4803,37884,-5521
Dec,64563,4530,1968,12372,4589,3115,1378,27952,36611
Jan,50628,13075,6792,6892,9339,3474,4212,43784,6844
May,89672,8315,509,26912,6918,1347,2889,46890,42782
Oct,66246,4064,6161,23838,1596,3443,2112,41214,25032
Aug,31161,11950,1291,18362,6073,3720,4973,46369,-15208
Apr,22810,7413,6563,8808,2070,668,5006,30528,-7718
May,79860,8537,5674,14476,5250,1484,4978,40399,39461
Apr,97199,5569,7515,23141,5325,1607,3964,47121,50078
Dec,91688,3242,2162,21606,4371,3067,1070,35518,56170
Dec,85548,6329,6823,28337,1157,606,1674,44926,40622
Apr,82363,12487,1243,28420,10114,3205,5726,61195,21168
Dec,31162,3925,2928,23749,4318,2578,5758,43256,-12094
Aug,93535,12254,3993,6609,7711,4118,779,35464,58071
Feb,27219,5395,5046,28605,11538,4842,3170,58596,-31377
Jan,90864,2440,1616,6223,8221,3473,3052,25025,65839
Mar,23621,7231,2941,6907,10438,2053,2653,32223,-8602
Sep,64433,10181,7608,19978,9957,2502,5769,55995,8438
Apr,96850,4743,1854,15943,3612,997,4609,31758,65092
Oct,86188,10039,6327,10810,5562,4899,2552,40189,45999
May,74951,10198,2980,17161,1443,1921,3566,37269,37682
Feb,56558,3586,3501,27832,6973,3974,4210,50076,6482
Apr,35659,2825,1686,29350,1904,4911,5892,46568,-10909
Feb,54413,5824,7589,19063,3910,4873,1357,42616,11797
Feb,30435,3268,7707,9937,2801,1041,4300,29054,1381
Apr,73911,9615,7409,27132,1925,1288,5061,52430,21481
Jun,48067,5436,4587,22615,8851,855,5341,47685,382
Jul,89224,13630,5503,17260,6930,4474,2356,50153,39071
Oct,93225,10089,6728,14939,9943,1726,4727,48152,45073
Mar,21379,3310,3331,15750,10426,749,1276,34842,-13463
Mar,47624,14225,4161,5737,3922,4698,4262,37005,10619
Oct,77745,11819,2248,25820,9854,3895,2963,56599,21146
Jun,71805,11228,3363,24363,8555,4469,4939,56917,14888
Dec,32516,2477,1614,20935,10776,1031,3948,40781,-8265
Mar,99422,12870,6103,15143,1919,1058,2055,39148,60274
Feb,44843,10906,3764,21913,6004,2119,3867,48573,-3730
Aug,25912,11868,5872,17321,5219,1791,1077,43148,-17236
May,41514,4162,6409,28525,9259,3624,4940,56919,-15405
Jan,77032,2508,6274,9418,5570,4613,3022,31405,45627
Mar,48797,9319,5863,14396,5453,1627,5120,41778,7019
Oct,26449,2381,7350,6986,10958,4747,545,32967,-6518
Aug,21725,11372,6913,5346,6575,4411,2434,37051,-15326
Apr,29304,3845,7484,10825,2953,1607,1480,28194,1110
Jul,93058,9300,3590,6215,3568,2187,3794,28654,64404
Oct,33663,14562,1563,18890,8945,4971,2570,51501,-17838
Dec,90320,11910,6229,15960,4708,4803,2614,46224,44096
Feb,95008,11292,7159,29429,5928,3975,1125,58908,36100
Jul,95591,12052,5652,27182,11863,3077,4054,63880,31711
May,32676,12283,4248,5244,4399,3032,4149,33355,-679
May,45192,10909,5045,19119,10545,4717,4224,54559,-9367
Jun,44722,9717,3232,28442,7570,2529,757,52247,-7525
Sep,27446,10509,2372,16243,1442,1643,4543,36752,-9306
Jun,24725,6629,5220,5132,1600,4846,2510,25937,-1212
Dec,77632,7704,2469,20556,5582,4243,3093,43647,33985
Aug,86945,3776,1384,22754,3786,4090,752,36542,50403
Jul,93741,10103,4463,6087,3695,4298,1712,30358,63383
Sep,36365,4284,4178,14839,3052,2247,2624,31224,5141
Apr,85792,3244,818,15083,1631,717,1224,22717,63075
Feb,84857,3333,4316,18415,4442,3310,2916,36732,48125
Jul,35704,5669,4217,25386,2754,3915,5163,47104,-11400
Jun,70575,3200,3695,15452,8020,2216,3171,35754,34821
Jan,49902,3794,5991,18828,10770,789,1677,41849,8053
Nov,21195,8181,1874,13310,1025,3768,2702,30860,-9665
Sep,73517,12893,5942,7903,8946,3243,3341,42268,31249
Sep,54012,3454,987,28206,11401,1109,770,45927,8085
Dec,31415,3933,950,5894,8297,2853,1061,22988,8427
Feb,59534,2746,852,6265,7553,1035,3639,22090,37444
Mar,41686,9370,5735,27807,6759,3791,2679,56141,-14455
May,97198,11032,7598,21746,8755,4257,2193,55581,41617
May,48743,9973,7680,28548,2129,1256,1344,50930,-2187
Jan,52161,12687,2440,14965,5996,4349,4253,44690,7471
Aug,81313,8827,2867,13505,5145,853,4353,35550,45763
Dec,22402,11280,3736,27016,6641,4391,4815,57879,-35477
Aug,83190,2792,6728,23090,9633,4830,4123,51196,31994
Apr,72551,8927,747,12334,6897,805,5494,35204,37347
Jul,33275,3267,4003,28297,8369,3495,1602,49033,-15758
Nov,48182,11742,1067,18374,4895,4208,1250,41536,6646
Oct,34915,8369,1183,18348,5797,2714,2867,39278,-4363
Mar,20909,4690,1143,20375,2828,4648,4913,38597,-17688
Jun,85908,9874,978,7393,10727,1709,2272,32953,52955
Oct,42620,2292,3260,16802,1559,775,5183,29871,12749
Oct,54112,8864,4963,29510,10365,646,2586,56934,-2822
Dec,94051,6022,6440,8694,11070,4048,3770,40044,54007
Sep,22431,11596,4952,22373,11447,2453,4700,57521,-35090
Jan,82175,3648,7051,19911,10276,1351,4365,46602,35573
May,52624,13008,1868,25064,4914,987,1006,46847,5777
Apr,96121,14102,2726,15655,9430,2053,5165,49131,46990
Aug,81264,13110,3996,14096,9050,2261,828,43341,37923
Nov,51958,7171,4112,11410,11287,3683,2214,39877,12081
Dec,21695,11589,6062,8397,10663,1083,5579,43373,-21678
Jan,69932,3693,4507,25381,7900,4810,721,47012,22920
Sep,64225,8710,2342,18031,6587,1010,3203,39883,24342
Jun,21403,3037,3877,5910,6412,4621,4387,28244,-6841
Apr,94391,5852,2914,27970,11237,4313,4746,57032,37359
Dec,58636,7459,1559,27365,5612,2740,3270,48005,10631
Sep,30839,11754,7106,23507,4683,2650,4439,54139,-23300
Nov,85546,11304,2144,23235,9396,3702,1478,51259,34287
May,67829,9048,5423,19915,8347,842,3593,47168,20661
May,29230,8184,5765,27840,4600,1923,3424,51736,-22506
Dec,71977,11483,2311,17863,11329,4367,1120,48473,23504
May,60232,3161,6520,16957,7643,4895,3965,43141,17091
Jan,45651,3029,2693,6615,2213,645,2131,17326,28325
Jan,59963,14529,2927,15582,8347,3317,5744,50446,9517
Aug,75872,14449,667,14397,4091,1415,3906,38925,36947
Dec,99198,12931,7942,9026,2382,2411,5914,40606,58592
Aug,33739,2978,4682,11869,4680,4201,2337,30747,2992
Dec,83294,10709,653,15871,10871,1839,5435,45378,37916
Jun,68356,10974,3044,23830,9198,2746,2060,51852,16504
Dec,21789,13023,4368,8312,11077,4417,5916,47113,-25324
Nov,39420,14372,814,13014,4498,3451,543,36692,2728
Apr,57606,7129,6450,28241,9487,997,5192,57496,110
Feb,58640,2137,1222,10019,6506,3448,4617,27949,30691
Feb,64135,10945,6577,15293,9455,1290,4821,48381,15754
Sep,57067,13145,4131,8216,3137,4700,5144,38473,18594
May,78420,6808,6449,26859,8655,509,4969,54249,24171
Apr,37357,4455,3845,25053,9124,3598,1527,47602,-10245
Oct,59851,13026,6325,16222,5948,3316,2485,47322,12529
Jan,58262,9392,3311,23908,4865,826,2226,44528,13734
Jul,96853,10771,2809,28882,6460,4066,1332,54320,42533
Mar,78643,13447,7130,18603,6448,1382,3893,50903,27740
Jun,41534,5266,3001,18340,5496,2171,3086,37360,4174
May,52872,6649,7086,15934,5452,1237,4967,41325,11547
May,27689,10587,3833,23345,7898,2674,1888,50225,-22536
Nov,89103,12129,7186,27687,3546,1423,1412,53383,35720
May,57412,7253,5724,9625,5929,4766,1592,34889,22523
Jan,67734,7428,2523,13292,9310,4982,5932,43467,24267
Jan,89930,7985,849,14505,8214,3324,5691,40568,49362
Mar,42228,4589,1323,8448,3395,1653,1769,21177,21051
Dec,97924,9176,937,24628,8671,2570,1257,47239,50685
Oct,31319,5034,6600,19678,6514,1420,2288,41534,-10215
Apr,26475,2169,668,11047,2702,3982,5692,26260,215
May,34728,12529,4319,26058,9721,1943,3333,57903,-23175
Feb,49545,5239,3914,6214,4674,3301,4262,27604,21941
Aug,81756,5415,3801,28990,9494,2275,3561,53536,28220
Nov,88775,5568,4618,25010,5251,528,2587,43562,45213
Nov,58699,13408,3535,14558,1013,2792,3610,38916,19783
Feb,56821,5484,7319,12875,8187,4203,3292,41360,15461
Sep,50615,6835,4876,27652,3803,1325,5161,49652,963
Feb,33746,3841,4090,18919,1888,4241,3743,36722,-2976
Sep,42745,8878,3269,20225,10388,638,4897,48295,-5550
Jul,21245,13952,2800,28196,5540,4952,2224,57664,-36419
Aug,44853,6552,4999,16815,9090,2759,1433,41648,3205
Nov,47632,8844,2680,10479,3169,1662,1054,27888,19744
Feb,32856,5026,3845,5172,11423,3939,503,29908,2948
Jul,76893,8189,3165,22270,11035,3033,1784,49476,27417
Dec,90641,5965,731,21044,4651,1859,4568,38818,51823
Jun,88049,9184,3092,11263,9017,2725,5476,40757,47292
Apr,78182,11793,4674,25752,11910,3060,4120,61309,16873
Jul,22801,7479,1558,16621,9240,4172,5005,44075,-21274
Apr,99431,7380,3042,14601,1180,2660,587,29450,69981
Feb,59749,3146,1633,12056,4878,782,4694,27189,32560
Oct,93757,6326,5940,26337,10609,1639,5603,56454,37303
Dec,75654,12876,4146,19245,4464,2297,2140,45168,30486
Jul,91574,2111,2875,20678,1529,4636,716,32545,59029
Aug,75381,2592,7610,5260,6771,3479,690,26402,48979
Feb,78601,9413,4380,24736,5679,1690,5834,51732,26869
May,35082,10179,3237,6352,8940,1744,2233,32685,2397
Jan,34648,12631,2931,10243,2286,4908,5212,38211,-3563
Jul,20364,3238,1887,14691,3190,2430,1705,27141,-6777
Aug,54568,7983,3803,17565,9898,3018,3142,45409,9159
Jun,99646,4794,6235,24390,9485,547,3730,49181,50465
May,91494,12606,1937,22206,2561,633,3806,43749,47745
Jun,94632,12321,3865,21915,6628,3546,3347,51622,43010
Feb,27436,13045,5142,24204,3611,2864,3957,52823,-25387
Jan,46754,13061,2229,5166,7560,4009,5125,37150,9604
Jul,80194,5598,7841,26310,1660,4006,3855,49270,30924
Jul,44544,5803,2939,17523,4178,2633,4666,37742,6802
Oct,80180,3526,3673,22439,4389,4594,5834,44455,35725
Nov,83295,9909,4407,6254,11298,3037,2664,37569,45726
Oct,32638,3969,1816,9286,4063,2971,599,22704,9934
Feb,85715,11143,5704,13009,7401,2934,1099,41290,44425
Feb,89409,3502,5504,9007,9127,4835,1359,33334,56075
Jan,37157,6467,5820,19992,3840,4022,5600,45741,-8584
Oct,65565,13528,1184,12758,11770,2805,4391,46436,19129
Aug,89996,8407,3088,14723,7309,4639,3181,41347,48649
Aug,85888,10301,6940,19590,8192,2310,2604,49937,35951
Jan,76095,14178,6699,20638,7054,1163,2740,52472,23623
Dec,84947,4354,4043,17234,11243,3554,1493,41921,43026
Nov,90880,7319,3587,19011,7146,4700,4410,46173,44707
Aug,24507,2225,2175,12889,7561,3992,4081,32923,-8416
Sep,63988,5011,2613,17016,11601,1453,1676,39370,24618
Apr,36865,6126,1457,20415,9560,2173,5642,45373,-8508
Jan,47213,2613,6278,9744,1538,1842,4625,26640,20573
Jan,75954,2098,4043,29681,3927,3991,3940,47680,28274
Mar,77450,7458,6528,14796,3393,3242,3962,39379,38071
May,24477,11002,6200,16965,9922,2604,1876,48569,-24092
May,82222,7916,3594,9287,1896,739,1071,24503,57719
Sep,26533,5337,5297,6002,7867,3124,4661,32288,-5755
Oct,69395,4699,3307,18589,7345,3549,2713,40202,29193
