Month,Income,Food,Travel,Rent,Shopping,Bills,Entertainment
Oct,98586,4246,7222,12790,6273,2013,4315
Feb,56142,3836,1616,10282,9697,3215,3297
Feb,65679,10268,1576,24095,6628,3493,1541
Oct,61615,10560,995,18376,5913,638,5062
Jul,67553,8976,3495,14431,10030,4225,2891
Dec,99071,14813,593,5602,5718,2370,2871
Jan,61002,2348,5220,6937,3676,2561,5865
Aug,90658,6601,4824,29505,1096,2495,1583
Nov,29852,14930,6893,29601,2963,3318,5457
Mar,25387,6333,6010,11812,6401,2413,3225
Nov,59994,7399,1220,6067,8767,4780,2450
Jun,53725,7696,5575,18401,1598,1242,5872
Sep,92682,3455,6825,10252,4963,4681,1347
Jun,20560,4185,4862,18472,9620,4733,5171
Sep,76565,9436,5599,27247,8293,4037,1044
Jul,21312,5811,4876,5379,2324,576,4653
Sep,38205,13464,4526,26886,11782,2491,4389
Feb,31595,9309,4555,24566,11606,4205,2611
Dec,41329,10086,5557,25131,9111,3522,5494
Aug,88187,5682,7310,10196,2767,1516,2672
Aug,95542,3846,1606,26516,6164,596,2608
Feb,55645,3854,5805,27424,10708,1494,879
Dec,89619,4985,4432,18881,2339,2054,5573
Apr,53513,14642,4222,17119,11738,1532,1661
Nov,28749,12817,7174,25504,10168,582,565
Jul,50783,4894,1871,13737,7466,2035,5798
Nov,80645,9496,922,10259,10806,1012,1297
Apr,73175,2558,7624,29850,10776,2422,2316
Apr,82709,4896,2505,16633,6463,2197,5790
Jun,37323,12109,5049,15461,6490,3985,1131
Oct,70762,3254,6910,7922,5061,3060,1867
Jun,84222,3681,5102,8387,8604,2414,4275
Oct,54493,7271,5761,26826,2270,4476,3758
Mar,78328,12006,4911,26936,1218,1146,726
Sep,32213,8283,6295,19553,1533,1297,691
Dec,66930,10854,1263,15062,8951,576,3299
Oct,47713,14308,5851,25397,10687,3183,1649
Nov,92723,5325,3868,26751,10565,1241,3503
Feb,52583,3241,1397,29686,4823,1725,4045
Jun,99944,5143,1452,11959,1064,4702,4694
Dec,42369,5037,3422,14947,5341,1464,4939
Jul,67928,10353,6191,27674,6082,811,519
Dec,88950,14417,7559,14559,10916,3146,4200
Sep,39510,12142,6665,5551,11397,3231,2906
Mar,32120,14512,4979,5133,3985,1132,932
Oct,25295,3781,3697,11607,6594,4181,1499
Mar,40460,6675,4698,16103,4913,914,3158
Jul,34963,3477,1399,15205,10240,3706,3034
Apr,97116,13222,4523,11599,9017,2042,4462
Aug,47328,9148,7376,18372,5255,1271,4925
Jul,41605,14178,4705,10124,2004,4979,2190
May,64813,9551,4141,6060,3122,3087,834
Jul,66371,2106,4043,28768,7696,986,3053
Mar,67598,4668,7732,19048,4981,2279,3010
Dec,80776,6935,6091,23570,1471,529,2550
Feb,92258,9270,4141,24049,4405,629,3216
Jun,60969,3164,5265,8170,1308,4714,2722
Feb,56912,3157,7743,15919,8695,2874,2371
Mar,58374,4246,3590,24030,8707,4483,2104
Jun,92302,8653,4979,21979,4047,3641,2056
May,82784,10858,6616,20583,11113,707,2845
Aug,69882,12318,6833,9106,3017,4686,2665
Sep,35928,13133,1261,27201,5881,4715,1288
Nov,41274,9649,2907,8421,2478,1481,1141
Mar,54416,2511,7518,21303,11544,4802,4801
Dec,80998,10441,1385,7278,5197,2671,3606
Oct,49047,2888,6722,22548,8721,611,1951
Mar,63356,11215,3143,22001,5870,1909,3489
Mar,57134,14886,3743,18052,4459,1205,5418
Jun,87042,9983,1735,5450,10423,3279,2804
Jan,71310,10791,3433,14990,6434,4699,2729
Jul,32363,5022,5610,17778,1571,3100,4803
Dec,64563,4530,1968,12372,4589,3115,1378
Jan,50628,13075,6792,6892,9339,3474,4212
May,89672,8315,509,26912,6918,1347,2889
Oct,66246,4064,6161,23838,1596,3443,2112
Aug,31161,11950,1291,18362,6073,3720,4973
Apr,22810,7413,6563,8808,2070,668,5006
May,79860,8537,5674,14476,5250,1484,4978
Apr,97199,5569,7515,23141,5325,1607,3964
Dec,91688,3242,2162,21606,4371,3067,1070
Dec,85548,6329,6823,28337,1157,606,1674
Apr,82363,12487,1243,28420,10114,3205,5726
Dec,31162,3925,2928,23749,4318,2578,5758
Aug,93535,12254,3993,6609,7711,4118,779
Feb,27219,5395,5046,28605,11538,4842,3170
Jan,90864,2440,1616,6223,8221,3473,3052
Mar,23621,7231,2941,6907,10438,2053,2653
Sep,64433,10181,7608,19978,9957,2502,5769
Apr,96850,4743,1854,15943,3612,997,4609
Oct,86188,10039,6327,10810,5562,4899,2552
May,74951,10198,2980,17161,1443,1921,3566
Feb,56558,3586,3501,27832,6973,3974,4210
Apr,35659,2825,1686,29350,1904,4911,5892
Feb,54413,5824,7589,19063,3910,4873,1357
Feb,30435,3268,7707,9937,2801,1041,4300
Apr,73911,9615,7409,27132,1925,1288,5061
Jun,48067,5436,4587,22615,8851,855,5341
Jul,89224,13630,5503,17260,6930,4474,2356
Oct,93225,10089,6728,14939,9943,1726,4727
Mar,21379,3310,3331,15750,10426,749,1276
Mar,47624,14225,4161,5737,3922,4698,4262
Oct,77745,11819,2248,25820,9854,3895,2963
Jun,71805,11228,3363,24363,8555,4469,4939
Dec,32516,2477,1614,20935,10776,1031,3948
Mar,99422,12870,6103,15143,1919,1058,2055
Feb,44843,10906,3764,21913,6004,2119,3867
Aug,25912,11868,5872,17321,5219,1791,1077
May,41514,4162,6409,28525,9259,3624,4940
Jan,77032,2508,6274,9418,5570,4613,3022
Mar,48797,9319,5863,14396,5453,1627,5120
Oct,26449,2381,7350,6986,10958,4747,545
Aug,21725,11372,6913,5346,6575,4411,2434
Apr,29304,3845,7484,10825,2953,1607,1480
Jul,93058,9300,3590,6215,3568,2187,3794
Oct,33663,14562,1563,18890,8945,4971,2570
Dec,90320,11910,6229,15960,4708,4803,2614
Feb,95008,11292,7159,29429,5928,3975,1125
Jul,95591,12052,5652,27182,11863,3077,4054
May,32676,12283,4248,5244,4399,3032,4149
May,45192,10909,5045,19119,10545,4717,4224
Jun,44722,9717,3232,28442,7570,2529,757
Sep,27446,10509,2372,16243,1442,1643,4543
Jun,24725,6629,5220,5132,1600,4846,2510
Dec,77632,7704,2469,20556,5582,4243,3093
Aug,86945,3776,1384,22754,3786,4090,752
Jul,93741,10103,4463,6087,3695,4298,1712
Sep,36365,4284,4178,14839,3052,2247,2624
Apr,85792,3244,818,15083,1631,717,1224
Feb,84857,3333,4316,18415,4442,3310,2916
Jul,35704,5669,4217,25386,2754,3915,5163
Jun,70575,3200,3695,15452,8020,2216,3171
Jan,49902,3794,5991,18828,10770,789,1677
Nov,21195,8181,1874,13310,1025,3768,2702
Sep,73517,12893,5942,7903,8946,3243,3341
Sep,54012,3454,987,28206,11401,1109,770
Dec,31415,3933,950,5894,8297,2853,1061
Feb,59534,2746,852,6265,7553,1035,3639
Mar,41686,9370,5735,27807,6759,3791,2679
May,97198,11032,7598,21746,8755,4257,2193
May,48743,9973,7680,28548,2129,1256,1344
Jan,52161,12687,2440,14965,5996,4349,4253
Aug,81313,8827,2867,13505,5145,853,4353
Dec,22402,11280,3736,27016,6641,4391,4815
Aug,83190,2792,6728,23090,9633,4830,4123
Apr,72551,8927,747,12334,6897,805,5494
Jul,33275,3267,4003,28297,8369,3495,1602
Nov,48182,11742,1067,18374,4895,4208,1250
Oct,34915,8369,1183,18348,5797,2714,2867
Mar,20909,4690,1143,20375,2828,4648,4913
Jun,85908,9874,978,7393,10727,1709,2272
Oct,42620,2292,3260,16802,1559,775,5183
Oct,54112,8864,4963,29510,10365,646,2586
Dec,94051,6022,6440,8694,11070,4048,3770
Sep,22431,11596,4952,22373,11447,2453,4700
Jan,82175,3648,7051,19911,10276,1351,4365
May,52624,13008,1868,25064,4914,987,1006
Apr,96121,14102,2726,15655,9430,2053,5165
Aug,81264,13110,3996,14096,9050,2261,828
Nov,51958,7171,4112,11410,11287,3683,2214
Dec,21695,11589,6062,8397,10663,1083,5579
Jan,69932,3693,4507,25381,7900,4810,721
Sep,64225,8710,2342,18031,6587,1010,3203
Jun,21403,3037,3877,5910,6412,4621,4387
Apr,94391,5852,2914,27970,11237,4313,4746
Dec,58636,7459,1559,27365,5612,2740,3270
Sep,30839,11754,7106,23507,4683,2650,4439
Nov,85546,11304,2144,23235,9396,3702,1478
May,67829,9048,5423,19915,8347,842,3593
May,29230,8184,5765,27840,4600,1923,3424
Dec,71977,11483,2311,17863,11329,4367,1120
May,60232,3161,6520,16957,7643,4895,3965
Jan,45651,3029,2693,6615,2213,645,2131
Jan,59963,14529,2927,15582,8347,3317,5744
Aug,75872,14449,667,14397,4091,1415,3906
Dec,99198,12931,7942,9026,2382,2411,5914
Aug,33739,2978,4682,11869,4680,4201,2337
Dec,83294,10709,653,15871,10871,1839,5435
Jun,68356,10974,3044,23830,9198,2746,2060
Dec,21789,13023,4368,8312,11077,4417,5916
Nov,39420,14372,814,13014,4498,3451,543
Apr,57606,7129,6450,28241,9487,997,5192
Feb,58640,2137,1222,10019,6506,3448,4617
Feb,64135,10945,6577,15293,9455,1290,4821
Sep,57067,13145,4131,8216,3137,4700,5144
May,78420,6808,6449,26859,8655,509,4969
Apr,37357,4455,3845,25053,9124,3598,1527
Oct,59851,13026,6325,16222,5948,3316,2485
Jan,58262,9392,3311,23908,4865,826,2226
Jul,96853,10771,2809,28882,6460,4066,1332
Mar,78643,13447,7130,18603,6448,1382,3893
Jun,41534,5266,3001,18340,5496,2171,3086
May,52872,6649,7086,15934,5452,1237,4967
May,27689,10587,3833,23345,7898,2674,1888
Nov,89103,12129,7186,27687,3546,1423,1412
May,57412,7253,5724,9625,5929,4766,1592
Jan,67734,7428,2523,13292,9310,4982,5932
Jan,89930,7985,849,14505,8214,3324,5691
Mar,42228,4589,1323,8448,3395,1653,1769
Dec,97924,9176,937,24628,8671,2570,1257
Oct,31319,5034,6600,19678,6514,1420,2288
Apr,26475,2169,668,11047,2702,3982,5692
May,34728,12529,4319,26058,9721,1943,3333
Feb,49545,5239,3914,6214,4674,3301,4262
Aug,81756,5415,3801,28990,9494,2275,3561
Nov,88775,5568,4618,25010,5251,528,2587
Nov,58699,13408,3535,14558,1013,2792,3610
Feb,56821,5484,7319,12875,8187,4203,3292
Sep,50615,6835,4876,27652,3803,1325,5161
Feb,33746,3841,4090,18919,1888,4241,3743
Sep,42745,8878,3269,20225,10388,638,4897
Jul,21245,13952,2800,28196,5540,4952,2224
Aug,44853,6552,4999,16815,9090,2759,1433
Nov,47632,8844,2680,10479,3169,1662,1054
Feb,32856,5026,3845,5172,11423,3939,503
Jul,76893,8189,3165,22270,11035,3033,1784
Dec,90641,5965,731,21044,4651,1859,4568
Jun,88049,9184,3092,11263,9017,2725,5476
Apr,78182,11793,4674,25752,11910,3060,4120
Jul,22801,7479,1558,16621,9240,4172,5005
Apr,99431,7380,3042,14601,1180,2660,587
Feb,59749,3146,1633,12056,4878,782,4694
Oct,93757,6326,5940,26337,10609,1639,5603
Dec,75654,12876,4146,19245,4464,2297,2140
Jul,91574,2111,2875,20678,1529,4636,716
Aug,75381,2592,7610,5260,6771,3479,690
Feb,78601,9413,4380,24736,5679,1690,5834
May,35082,10179,3237,6352,8940,1744,2233
Jan,34648,12631,2931,10243,2286,4908,5212
Jul,20364,3238,1887,14691,3190,2430,1705
Aug,54568,7983,3803,17565,9898,3018,3142
Jun,99646,4794,6235,24390,9485,547,3730
May,91494,12606,1937,22206,2561,633,3806
Jun,94632,12321,3865,21915,6628,3546,3347
Feb,27436,13045,5142,24204,3611,2864,3957
Jan,46754,13061,2229,5166,7560,4009,5125
Jul,80194,5598,7841,26310,1660,4006,3855
Jul,44544,5803,2939,17523,4178,2633,4666
Oct,80180,3526,3673,22439,4389,4594,5834
Nov,83295,9909,4407,6254,11298,3037,2664
Oct,32638,3969,1816,9286,4063,2971,599
Feb,85715,11143,5704,13009,7401,2934,1099
Feb,89409,3502,5504,9007,9127,4835,1359
Jan,37157,6467,5820,19992,3840,4022,5600
Oct,65565,13528,1184,12758,11770,2805,4391
Aug,89996,8407,3088,14723,7309,4639,3181
Aug,85888,10301,6940,19590,8192,2310,2604
Jan,76095,14178,6699,20638,7054,1163,2740
Dec,84947,4354,4043,17234,11243,3554,1493
Nov,90880,7319,3587,19011,7146,4700,4410
Aug,24507,2225,2175,12889,7561,3992,4081
Sep,63988,5011,2613,17016,11601,1453,1676
Apr,36865,6126,1457,20415,9560,2173,5642
Jan,47213,2613,6278,9744,1538,1842,4625
Jan,75954,2098,4043,29681,3927,3991,3940
Mar,77450,7458,6528,14796,3393,3242,3962
May,24477,11002,6200,16965,9922,2604,1876
May,82222,7916,3594,9287,1896,739,1071
Sep,26533,5337,5297,6002,7867,3124,4661
Oct,69395,4699,3307,18589,7345,3549,2713
Dec,43396,7917,7129,17922,3368,2609,2015
Feb,32755,9517,1320,5084,5559,4747,4224
Feb,20865,3019,1387,24379,8747,4725,5159
Jun,31173,5025,4228,18015,11872,1963,679
Sep,78905,5528,6515,20373,3380,899,1225
Jan,58097,5886,5924,10156,1014,3221,5372
Sep,53371,8231,6820,12194,10545,2437,1540
Sep,31254,7182,6838,10783,4135,681,581
Sep,24018,7578,4493,10695,3277,1574,3611
May,25192,8729,3584,17357,9202,3073,3518
Sep,22015,8961,1375,21537,2656,2897,1705
Nov,88916,13171,4761,14653,10439,1581,4467
Apr,48343,13532,5769,27798,2660,918,5563
Feb,89306,8013,4496,28068,2763,1660,5780
Jun,25829,2796,1056,7019,9733,1139,4297
Apr,54381,3957,5793,21155,2529,2584,3481
Jun,38263,5066,2714,5570,8865,858,3281
Mar,73260,13212,1208,12922,6838,2303,4345
Jun,63306,4680,1217,21200,7910,1038,5152
Feb,78418,6441,4165,29724,10372,4939,5806
Feb,20148,4948,6199,16769,11880,2718,3946
Sep,21754,5731,2644,11153,3617,2213,1990
Jul,46745,3101,7322,24075,3754,1365,2788
Mar,92914,7484,7047,29053,10120,2567,2881
Nov,75833,11229,5696,15301,9101,2850,547
Jan,40140,6231,2519,10507,2426,1275,4508
Aug,94907,10983,5856,9869,9067,3768,962
Jun,80653,14366,4279,27233,6208,4127,5693
Jul,81521,11970,790,20591,11425,1535,2864
Sep,98315,14992,2683,27351,7222,860,2919
May,51075,2981,4379,8655,8808,3319,2293
Jan,50697,11457,3436,21347,3061,795,4040
Dec,74544,7170,7524,28055,3563,1926,1533
Oct,29795,10935,2914,27053,3803,4009,1087
Jul,84555,4431,7191,7492,7209,3316,5018
May,72204,10566,7545,17304,3293,3365,3509
Mar,89754,11945,2795,11512,2625,1192,3274
Dec,84860,8349,3313,20243,6809,1567,975
Sep,71529,5897,1737,13774,1571,1632,4840
Jan,31672,12728,2617,9350,8399,1621,3239
Jan,74238,9548,5341,27983,3400,1741,5083
Jan,55950,3991,3543,15882,10903,1446,3400
Mar,31009,4928,6972,9656,9574,3647,2325
Dec,67096,7430,3587,13511,6829,2115,5692
Jun,39544,5446,4058,25699,2083,562,5348
Oct,75728,8775,5793,26178,2949,893,2397
Nov,49381,10783,1198,22821,11709,2026,4256
Mar,45287,7161,3353,21415,6530,2001,5523
Aug,84610,14820,4308,5714,6202,1019,5624
Oct,88122,4569,6917,29339,6430,888,5985
Feb,88184,4872,5119,20089,4497,1087,4066
Sep,60081,11368,2345,14231,6496,3997,5833
Mar,65312,3335,6862,21792,5930,3561,5554
May,92943,7413,5619,20163,11867,3071,1848
Oct,72726,14885,4514,21008,4394,779,2857
Aug,42211,2112,7156,12346,10395,3616,2585
Feb,49480,5772,3682,13038,1773,3972,5500
Jun,67780,7294,6606,29124,8793,2484,5680
Dec,77138,12037,963,29048,11505,2781,5714
May,62503,3987,4360,26415,3597,4781,5108
Oct,77893,6829,6260,22511,10595,1304,4042
Sep,66193,3985,7760,26820,8981,574,2946
Dec,81358,13484,950,13898,4061,3485,2100
May,98182,13434,6015,17031,4325,1209,3577
Feb,42117,7091,2415,16215,2403,4162,2736
May,79056,2252,1423,16851,4320,1930,2186
Dec,78706,10315,4122,5782,8239,1146,5255
Apr,90429,11428,7576,10300,7649,2538,4623
Nov,29476,2623,7122,23563,8420,4633,2501
Jul,75006,5156,815,28190,8139,4438,634
Jun,89918,13328,5266,6178,1869,2715,2289
Feb,83155,5389,5293,7406,7442,3856,4900
Dec,87321,5417,5588,18546,10275,602,3042
Nov,65798,11847,1876,24191,1973,644,5319
Nov,97271,11458,3315,17452,10417,1254,3851
May,50177,4945,1762,24148,10994,4557,3407
Jul,63013,11352,1627,7724,2188,4961,5487
Nov,73450,12486,5502,7535,6147,2330,2770
Jul,67928,10632,3425,29788,4443,4209,4174
May,65382,4092,1552,15140,6684,582,2527
Dec,20760,4705,4684,26245,2321,1811,1327
Sep,44142,5759,2922,27684,3023,3839,1843
Apr,37290,7112,3968,29240,7740,4194,4794
Nov,91035,2553,6182,24530,6468,4431,3627
Mar,20364,6904,4959,27962,1438,3947,906
Apr,76921,3112,4521,6201,1164,4168,1961
May,39797,4777,6790,15011,6678,2115,2274
Jun,52535,9097,4909,7889,8835,4746,1870
Mar,66300,12025,1047,22028,4337,3303,985
Feb,67176,3314,5391,15551,4350,2562,862
Apr,36105,5493,4023,27335,1987,4696,4301
May,27939,13330,7542,25606,3529,1279,711
Apr,99472,13304,2029,17664,5612,1558,5296
Nov,62029,10290,6105,20704,4845,2898,3161
Dec,35863,9473,6744,9320,6756,3504,1415
Mar,98097,9015,606,8088,9105,2830,1960
Aug,30447,14117,1356,13688,2326,2259,4738
Oct,66940,11671,3484,15208,9219,4760,3856
Apr,97947,7710,4886,13664,11216,927,1593
Feb,39642,14588,5968,15080,7924,4376,5553
Feb,87643,3222,5212,24766,5593,2990,2233
Jan,27928,6583,6352,12925,7662,2616,2051
Apr,68002,7520,7231,6160,1193,2821,1833
Oct,45017,9872,1750,15714,9783,1059,1364
Sep,99064,11196,7239,9312,3489,1885,1786
Nov,33313,10668,5572,13387,11049,3117,4655
Jul,21559,7431,6632,23632,7401,2454,5117
Dec,70893,11327,2111,25845,9304,1089,808
Oct,35167,13048,2290,24150,10509,998,2043
Jul,58598,3705,7717,22935,2737,3322,1905
Jul,27523,2517,1367,7447,3061,2029,2072
Aug,69777,3220,7613,27028,10882,2138,2501
Jan,48439,4506,3269,9309,7283,1632,1399
Oct,33285,6325,4753,15580,10586,4983,1607
Oct,30973,11383,827,28880,7840,915,3805
Aug,42694,14072,4316,13310,4559,2091,5357
Apr,55774,13435,3648,8496,6461,4907,4835
Apr,24302,12169,7378,6716,8599,4383,4294
Apr,42391,7479,7276,26321,11428,2107,4820
Jun,24611,12434,6073,24298,4883,4224,4874
Jul,29372,9436,3881,20732,4251,2215,4384
Jun,44312,5090,2874,6672,6053,702,2976
Jan,34080,8497,3055,14394,4014,4354,901
Dec,40874,12079,5465,6455,2128,4459,2593
Aug,82537,7168,1630,19031,7865,609,3747
Oct,93914,14751,4836,18232,7472,4677,3571
Nov,21597,8993,2982,27929,8416,1268,4356
Jul,31600,2973,3599,21340,2696,638,4201
Jun,23747,7277,3251,12026,9324,720,2307
Jun,99415,10257,3820,20438,8407,1360,1889
May,98553,8092,5983,8978,8245,4427,5792
Jun,44815,4906,6344,7471,5665,2887,4899
Dec,44714,2570,2056,13309,5220,3025,2898
Sep,38890,14084,4043,5367,8574,1945,5300
Oct,81509,2307,6286,18417,7170,2109,591
Sep,81824,13600,6158,24560,1311,698,3732
Oct,24725,5742,7232,8374,11621,3363,5722
Aug,63205,10974,5008,11773,10977,1660,2679
Oct,40684,14408,6554,19205,6434,1869,3316
Sep,77911,2765,1068,8812,1401,4071,1812
Oct,33092,13667,2154,27675,6554,2722,5053
Aug,59770,10964,3736,27369,2596,988,4529
Aug,45457,9814,7632,23581,1121,4040,1398
Jan,91667,14049,6195,26295,1750,3367,3672
Oct,82894,9735,3619,19351,1105,2927,3592
Nov,81305,13377,4233,5900,7934,2377,748
May,32612,10036,7127,21576,10251,1364,2739
Apr,98627,9596,3729,7770,4238,2680,3132
Feb,57089,2539,7311,16540,2244,3528,3884
Aug,72137,9985,650,10180,9267,3598,4763
Mar,20559,4049,2772,20308,7865,3828,4204
Apr,86249,5283,5879,22334,10201,4134,5835
Dec,57361,6675,4851,11679,4282,1155,1697
Jul,35261,3663,2608,8606,3275,1879,2491
Oct,40372,8476,2295,19678,4808,735,5003
Sep,75355,11239,7039,26422,9644,1488,1000
Feb,77920,14028,6016,5257,1765,1882,1661
Mar,52544,5439,5781,22605,5582,1314,598
Apr,20037,10697,2927,19388,3715,3466,3628
Oct,63032,9143,4014,22034,2497,2189,2794
Jan,98233,5247,848,15510,3838,4300,1212
Jul,61420,5500,2578,7425,7036,2986,4414
Feb,54600,3910,6714,20011,6066,2165,606
May,68285,2732,896,24543,1489,3135,5667
Jan,82008,5513,6645,5397,11615,4486,545
Mar,25167,11763,3476,26685,7374,2323,2943
Dec,20432,6609,3109,16106,2935,4588,3631
Feb,89687,13134,1658,26786,3749,1110,5766
Jan,91947,6456,645,29084,10295,1835,3163
Jul,70903,12513,2726,21944,8812,4368,1449
May,74149,5335,763,13381,10791,4825,4068
Jan,76768,14814,5930,13396,8464,4192,3221
Jun,80184,10168,4799,16207,8777,4935,4298
May,85792,9056,6430,26483,9417,4066,5737
Mar,53439,14566,7342,8371,7286,2711,3789
Dec,53257,4753,3601,8041,10906,2663,5224
Jul,64674,3372,2606,11844,5149,570,3834
Nov,71248,11636,3580,14897,11435,2249,3721
Oct,65371,5376,1487,26782,6848,841,3817
Sep,87996,10481,1847,22096,8656,3326,5096
Sep,57297,12257,6810,8456,3345,4331,2317
Sep,74273,2063,1860,15876,6549,2879,4544
Feb,81256,5945,7550,28331,7680,4369,2721
Mar,54743,2329,7541,9406,9770,4702,5188
Jul,88752,6858,3338,18165,2698,3773,4767
May,99803,3963,2226,16791,11863,2939,1457
Feb,95117,5088,2789,18144,7984,4825,5404
Mar,90051,12682,6576,12649,7037,2567,5218
Oct,42076,2140,6285,8877,6256,4039,5314
Jun,95312,6539,1407,24906,7551,971,2885
Jul,22963,4473,1683,10651,1278,4265,1934
Sep,92322,7594,3324,17818,2468,4669,3669
Jan,33866,5903,1758,9112,10132,1153,3484
Nov,52305,7364,6072,9565,3318,961,3756
Jul,82403,2449,698,26290,5536,1673,1936
Aug,52813,12017,6096,26807,6347,2167,4973
Dec,86729,6446,1556,9977,6939,4245,1932
Mar,80686,6694,2955,24062,2783,3821,2274
Apr,24512,6806,5708,13775,11067,1139,917
Oct,42666,2869,6864,26325,7630,4869,1482
Jun,36630,8079,7736,28713,4226,981,1638
Oct,94519,9307,3865,15188,10177,581,3428
Jul,20636,13756,1760,5841,3819,3803,1733
Apr,23775,5659,4478,15567,4970,4626,5042
Aug,87957,5602,5779,9038,11258,3293,1330
May,84591,10584,6451,6804,1424,1607,4593
Jan,98561,11033,7483,13921,3105,4285,5800
Apr,94816,4448,3335,9349,3470,750,4788
Mar,31351,12983,1813,14655,6894,2934,3360
Sep,75184,9592,2402,19906,4794,2120,5875
Aug,89180,4953,7197,19879,3891,2218,2468
Jan,93309,7131,4475,9946,10875,765,2971
Nov,30778,3358,1077,15359,4147,521,5301
Jun,32501,11182,7176,28502,5051,2623,5243
Sep,22108,11230,4930,11657,4651,2010,5390
Jul,56382,10219,1520,20989,8901,4352,5336
Apr,95787,2387,4153,22956,2174,3438,4837
Jan,43341,2832,4344,18266,3949,3922,2009
Dec,97214,10441,4073,11240,11001,739,5650
Feb,34367,12219,2793,26350,9628,550,1272
Dec,89868,11720,5942,14585,7116,3507,5679
May,32002,6193,6558,20776,1234,975,4172
Dec,79949,3838,1110,21640,8912,2504,4486
Nov,35700,11552,828,5127,5770,656,4696
May,99305,13301,1046,14574,11337,3283,3357
Aug,82543,11515,838,16920,6128,2519,3180
Jun,49318,12418,7838,19392,5856,2186,2278
Aug,47610,13872,3681,19917,9159,4670,2519
Feb,92499,2891,3541,28251,3474,4358,3424
Mar,93374,7588,1306,29238,1226,2914,1088
Jun,85226,3305,1533,7205,7160,3303,772
Dec,65167,7283,3773,13513,11802,3749,3429
Oct,97779,6548,4487,15548,11467,2655,2534
Mar,47939,6192,7924,9379,5801,2326,2001
Jun,81365,8452,3833,13067,11007,4257,2605
Jun,87381,10453,3240,16305,6357,592,5578
Feb,66710,4340,5025,17148,8548,4776,4076
Jul,36766,3793,6126,27661,4995,1170,4982
Dec,32780,12488,7733,17901,2410,2643,4640
Feb,68458,12484,5401,15888,5764,731,1781
Jun,76221,8394,2196,14708,11037,4489,1314
Jan,21509,12362,4150,16485,2337,2102,1769
Mar,54346,2324,7255,25708,6420,3451,4835
Feb,66874,11177,6208,19117,1117,2272,3984
Jul,46148,9848,2582,19220,2868,2566,1651
Apr,51533,10114,2498,29694,3097,1810,2237
Aug,98467,8644,5152,21221,2813,658,4871
Jun,21359,6782,2185,12081,10779,4278,2965
Dec,80313,14044,5086,7371,9734,2086,2754
Oct,40344,11931,2103,10016,3374,877,2075
Apr,89778,12052,4849,11302,2526,3795,1332
May,40601,5137,4612,11382,8087,1213,1869
Sep,39116,5898,760,27923,10461,4687,4402
Jul,76985,2835,4296,17607,9793,2723,1067
Oct,50782,6154,6444,16452,4614,4571,4755
Sep,69819,4778,5875,27836,3149,3282,4691
Jul,89035,11588,3275,27776,4301,1237,4496
Dec,64458,8409,6482,26180,9579,3000,3687
Jan,28080,11868,6043,20865,4680,3646,3783
Dec,53957,14523,1000,23825,10794,2363,1098
Aug,33908,6313,1515,6017,4282,991,5926
Apr,98287,7646,2833,25885,3696,3504,543
Mar,67482,12029,2554,8047,5151,4113,5607
Jul,58314,9608,4463,18492,2305,2029,4029
Dec,94921,5721,5818,15260,1716,1445,2381
Mar,35831,9911,4174,27178,6845,4140,4043
Aug,40125,13864,4555,18894,6758,1201,2383
Jun,82451,13214,3206,16857,4655,4456,880
May,65708,14876,7580,9250,7359,2984,2662
Apr,37682,3671,6635,27331,9505,3255,2158
Aug,55794,2916,6281,29769,3280,3768,4983
Aug,79372,7588,2599,12391,3622,3602,5505
Dec,59477,11109,6886,7446,10079,2367,3392
Jan,73863,11325,5838,28507,5342,4625,5938
Sep,58737,8496,3065,22783,3489,4305,3482
May,22620,3836,3517,15711,2922,3533,1375
Apr,55057,4138,608,27679,7278,889,4015
Jun,60138,6007,3922,17119,9115,1743,527
Jun,99390,3905,5516,8687,9049,3847,1135
Feb,73024,5989,565,21367,5029,511,2515
Aug,29677,5485,3581,12864,4063,2016,2624
Jul,64111,6797,4797,11127,9352,2120,1086
Jan,44074,12312,6413,21936,11379,2257,5805
May,37824,4732,3448,26927,11543,548,4122
Dec,20765,9714,713,18834,10675,2215,4829
Jun,65439,12961,6711,13921,4892,760,3970
Apr,68926,3321,7402,23944,2737,819,4924
Feb,56860,13908,7509,10108,5220,4781,4214
Apr,32975,5354,4922,9266,8080,2776,3576
Jan,94877,11720,5669,9945,11100,2427,2895
Jul,97870,9101,1540,13985,10562,3332,4509
Feb,46548,6743,5118,27068,11169,4616,3970
Feb,58736,10951,7973,29700,4395,515,1782
Sep,81562,9014,1487,13366,3454,3027,890
May,60409,5412,3695,7551,5957,4366,2443
Feb,29834,9825,5599,8848,3287,4601,2450
Nov,20840,3357,1003,8456,10428,2845,3137
Sep,99409,12382,5844,24142,9150,1440,503
Sep,51568,5481,1255,17031,7292,758,3190
Jan,30846,11140,1841,25139,10398,1563,5747
Nov,25899,12271,7116,25026,9696,775,4604
Mar,86101,3766,6463,13119,10595,3291,4038
Apr,58773,10219,6510,15162,10959,3066,3247
Jul,94723,9163,7501,6660,4733,2430,2174
Oct,92762,4470,3088,29613,9892,4082,4034
Apr,24311,12730,1881,18208,6113,1831,1431
Feb,76888,2159,6102,15716,4005,2056,624
Jul,61616,4892,7512,26970,5790,979,5612
Jun,72134,7326,7521,18009,1010,3546,3365
